PUT,0.4135,1616778435
GET,0.4518,1616778437
DELETE,0.3606,1616778441
POST,0.3242,1616778445
POST,0.3975,1616778447
POST,0.2381,1616778447
DELETE,0.4739,1616778451
GET,0.4328,1617311104
GET,0.3555,1617311123
GET,0.2433,1617311123
GET,0.451,1617311485
POST,0.4552,1617311509
POST,0.2538,1617311515
POST,0.3405,1617311515
GET,0.5181,1617315761
DELETE,0.7179,1617315767
DELETE,0.3739,1617315769
DELETE,0.4748,1617315770
DELETE,0.2625,1617315770
POST,0.4313,1617315774
POST,0.6598,1617315776
POST,0.3517,1617315777
PUT,0.4177,1617315780
PUT,0.249,1617315783
PUT,0.2568,1617315783
PUT,0.289,1617315784
GET,0.2917,1617318809
GET,0.2644,1617318809
GET,0.2481,1617318810
POST,0.4081,1617318814
POST,0.3589,1617318816
POST,0.2723,1617318816
POST,0.2475,1617318816
PUT,0.3831,1617318819
PUT,0.3254,1617318821
DELETE,0.7131,1617318824
DELETE,0.3276,1617318826
DELETE,0.2451,1617318826
DELETE,0.2856,1617318826
DELETE,0.3938,1617318826
GET,0.3288,1617560979
GET,0.3095,1617560979
GET,0.5876,1617560979
GET,0.2364,1617560979
GET,0.2894,1617560980
GET,0.2961,1617560981
